
*************************************************************************************

09.10.2020 13:55:09.266 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.323 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.382 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.450 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.512 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.579 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.636 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.697 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.766 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.824 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.887 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.947 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.014 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.078 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.132 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.207 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.261 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.323 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.385 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.451 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.513 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.576 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.633 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.697 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.762 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.825 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.888 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:10.947 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:11.014 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:12.947 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.013 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.078 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
